timestamp px py pz qx qy qz qw
95.300000000 0.001896123 -0.000145667 -0.000994307 -0.000012751 -0.000026703 -0.000079148 0.999999996
100.000000000 0.085822622 -0.009278467 0.004636270 0.023415907 -0.016095302 -0.000063146 0.999596235
100.100000000 0.133751600 -0.002966031 -0.024446438 0.009206729 0.006619215 -0.007719174 0.999905914
100.300000000 0.229046115 0.019977997 -0.013748103 -0.012900543 0.011034640 -0.004768543 0.999844525
100.500000000 0.282848102 0.028678887 0.004590449 -0.023924975 -0.016154703 -0.019928907 0.999384540
100.600000000 0.320830707 0.027671940 -0.013056905 -0.009546629 0.003185529 -0.007669577 0.999919943
102.000000000 0.827042686 0.006210531 -0.010618841 0.008277779 0.007337108 -0.011049523 0.999877769
102.600000000 1.035813728 0.017213600 -0.015487108 -0.014609053 0.004784744 -0.011348803 0.999817427
103.000000000 1.169581880 0.019968549 -0.021345370 0.001817200 0.004640645 0.017778500 0.999829529
103.100000000 1.213488664 0.040555881 -0.015800936 0.015816950 0.011880596 0.076054868 0.996907384
103.200000000 1.228860086 0.071249453 -0.012000755 0.012898176 -0.011743930 0.132161942 0.991074638
103.300000000 1.252388164 0.091725261 -0.008648762 0.021285597 -0.016819391 0.173216059 0.984510146
103.400000000 1.291840447 0.129812167 -0.030195374 0.003185086 0.008606923 0.195370609 0.980686546
103.500000000 1.330163626 0.159141272 -0.044025842 0.016620611 0.015003671 0.241461649 0.970152007
103.600000000 1.333390857 0.195223755 -0.018934292 0.009462961 -0.008566773 0.285030374 0.958433487
103.700000000 1.354876610 0.226349654 -0.026911730 0.004603716 -0.002391716 0.310211750 0.950653331
103.800000000 1.380879179 0.266279831 -0.031773804 0.002286774 0.010431146 0.346706948 0.937912711
103.900000000 1.394938425 0.302153554 -0.029133951 0.003144253 -0.002882262 0.389406079 0.921056302
104.000000000 1.405438197 0.339153234 -0.004786949 0.011411647 -0.006343210 0.424702813 0.905238675
104.100000000 1.422687801 0.376858585 -0.034297043 0.000817162 0.013815155 0.450026972 0.892907721
104.200000000 1.452983414 0.420201211 -0.049152789 0.014401353 0.027027451 0.488674482 0.871928534
104.300000000 1.451390894 0.446013901 -0.030415927 -0.001793921 -0.004624972 0.508799999 0.860870462
104.500000000 1.491445769 0.505226258 -0.021960202 -0.002935632 0.002737394 0.490700936 0.871318816
104.800000000 1.542905854 0.607735313 -0.023812282 -0.017152965 -0.004130478 0.477686462 0.878353208
105.000000000 1.585840371 0.655031002 -0.028163332 -0.001765100 0.006371923 0.480167568 0.877151862
105.900000000 1.755129639 0.933232144 -0.027487313 -0.014440382 -0.003568198 0.472863285 0.881010248
106.100000000 1.797990387 0.981105811 -0.038781043 0.000130560 0.007721472 0.474326490 0.880315138
107.000000000 1.972250912 1.255312540 -0.027474562 -0.015094172 -0.002737670 0.469517122 0.882790090
107.200000000 2.020370694 1.301186980 -0.035990143 0.002391718 0.008067762 0.459978978 0.887889932
107.300000000 2.063868545 1.321141829 -0.023167797 -0.005191946 0.006628491 0.411557458 0.911344921
107.400000000 2.103286860 1.330208615 -0.027048782 -0.001564537 -0.001785919 0.364805012 0.931080913
107.500000000 2.142648274 1.337546191 -0.009355600 0.000196415 -0.003424536 0.321766745 0.946812757
107.600000000 2.175424606 1.347093796 -0.032543842 0.000134062 0.006929003 0.294255911 0.955701538
107.700000000 2.221065908 1.360501167 -0.023040660 -0.009058518 0.004326471 0.254951664 0.966901688
107.800000000 2.254128026 1.358564559 -0.018022307 -0.000401889 -0.003158793 0.220695404 0.975337582
107.900000000 2.293272456 1.359663853 -0.025068714 0.001815631 -0.000947186 0.182637429 0.983178202
108.000000000 2.330247306 1.365780936 -0.030914054 -0.008538719 0.009471661 0.148498542 0.988830400
108.100000000 2.371812670 1.371165058 -0.027812730 -0.017230345 -0.000901896 0.110188856 0.993760896
108.200000000 2.400602345 1.352552210 -0.009364407 -0.008027443 -0.012511747 0.070679108 0.997388330
108.300000000 2.436276278 1.345911226 -0.032088233 -0.003854171 0.006303815 0.056991295 0.998347334
108.600000000 2.552500941 1.357730853 -0.020141934 0.011970278 0.010643238 0.078286681 0.996802202
108.700000000 2.574604566 1.367779019 -0.020452596 0.005445464 -0.004414475 0.089240359 0.995985451
109.200000000 2.750152081 1.413684583 -0.027795365 -0.012467696 0.002663832 0.084549246 0.996337737
109.700000000 2.930104245 1.422427116 -0.026223525 0.012153766 0.011990388 0.085045378 0.996230797
109.800000000 2.949828669 1.431879198 -0.020413360 0.008548123 -0.005928268 0.095774761 0.995348673
110.300000000 3.133075012 1.473457419 -0.030204812 -0.010613498 0.001292236 0.091496750 0.995747974
110.800000000 3.309888887 1.474191307 -0.024996279 0.013015326 0.011672026 0.043715104 0.998891063
110.900000000 3.337295297 1.464903724 -0.025251107 0.004364639 -0.001177099 0.009516935 0.999944495
111.000000000 3.379052677 1.447294297 -0.025661429 -0.007907001 0.006515211 -0.044837367 0.998941761
